"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that social media icons are visible","832","test_social_icons_visible[firefox]","tests","Tue Feb 03 03:00:20 UTC 2026","passed","Tue Feb 03 03:00:21 UTC 2026","TestPageElements","test_regression","",""
"Test that all practice links are visible","674","test_all_practice_links_visible[firefox]","tests","Tue Feb 03 03:00:19 UTC 2026","passed","Tue Feb 03 03:00:20 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Big Page","1918","test_navigate_to_big_page[chromium]","tests","Tue Feb 03 03:03:17 UTC 2026","passed","Tue Feb 03 03:03:19 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that social media icons are visible","1045","test_social_icons_visible[webkit]","tests","Tue Feb 03 03:00:22 UTC 2026","passed","Tue Feb 03 03:00:23 UTC 2026","TestPageElements","test_regression","",""
"Test that social media icons are present","662","test_social_media_icons_present[chromium]","tests","Tue Feb 03 03:03:14 UTC 2026","passed","Tue Feb 03 03:03:14 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","2061","test_navigate_to_fake_landing_page[chromium]","tests","Tue Feb 03 03:03:19 UTC 2026","passed","Tue Feb 03 03:03:21 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Big Page","2555","test_navigate_to_big_page[webkit]","tests","Tue Feb 03 03:00:11 UTC 2026","passed","Tue Feb 03 03:00:13 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that the automation page loads successfully","898","test_page_loads_successfully[firefox]","tests","Tue Feb 03 03:00:03 UTC 2026","passed","Tue Feb 03 03:00:04 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that all practice links are visible","1029","test_all_practice_links_visible[chromium]","tests","Tue Feb 03 03:03:25 UTC 2026","passed","Tue Feb 03 03:03:26 UTC 2026","TestPageElements","test_regression","",""
"Test that navigation links are visible","889","test_navigation_links_are_visible[chromium]","tests","Tue Feb 03 03:03:13 UTC 2026","passed","Tue Feb 03 03:03:13 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Pricing Page","2887","test_navigate_to_fake_pricing_page[firefox]","tests","Tue Feb 03 03:00:16 UTC 2026","passed","Tue Feb 03 03:00:19 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that essential page elements are present","774","test_page_has_essential_elements[chromium]","tests","Tue Feb 03 03:03:12 UTC 2026","passed","Tue Feb 03 03:03:12 UTC 2026","TestBasicFunctionality","test_smoke","",""
