"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that social media icons are visible","416","test_social_icons_visible[firefox]","tests","Thu Dec 11 03:21:21 UTC 2025","passed","Thu Dec 11 03:21:21 UTC 2025","TestPageElements","test_regression","",""
"Test that social media icons are visible","1065","test_social_icons_visible[webkit]","tests","Thu Dec 11 03:21:52 UTC 2025","passed","Thu Dec 11 03:21:53 UTC 2025","TestPageElements","test_regression","",""
"Test navigation to Fake Landing Page","1649","test_navigate_to_fake_landing_page[firefox]","tests","Thu Dec 11 03:21:14 UTC 2025","passed","Thu Dec 11 03:21:16 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that the automation page loads successfully","5449","test_page_loads_successfully[chromium]","tests","Thu Dec 11 03:26:08 UTC 2025","passed","Thu Dec 11 03:26:13 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are present","745","test_social_media_icons_present[firefox]","tests","Thu Dec 11 03:21:07 UTC 2025","passed","Thu Dec 11 03:21:08 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","1439","test_navigate_to_fake_landing_page[chromium]","tests","Thu Dec 11 03:26:19 UTC 2025","passed","Thu Dec 11 03:26:21 UTC 2025","TestNavigationLinks","test_regression","",""
"Test navigation to Big Page","1656","test_navigate_to_big_page[firefox]","tests","Thu Dec 11 03:21:12 UTC 2025","passed","Thu Dec 11 03:21:14 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that the automation page loads successfully","1161","test_page_loads_successfully[webkit]","tests","Thu Dec 11 03:21:33 UTC 2025","passed","Thu Dec 11 03:21:34 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","3184","test_navigate_to_fake_landing_page[webkit]","tests","Thu Dec 11 03:21:43 UTC 2025","passed","Thu Dec 11 03:21:46 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that navigation links are visible","962","test_navigation_links_are_visible[firefox]","tests","Thu Dec 11 03:21:05 UTC 2025","passed","Thu Dec 11 03:21:06 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test navigation to Big Page","3143","test_navigate_to_big_page[webkit]","tests","Thu Dec 11 03:21:40 UTC 2025","passed","Thu Dec 11 03:21:43 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that all practice links are visible","699","test_all_practice_links_visible[firefox]","tests","Thu Dec 11 03:21:20 UTC 2025","passed","Thu Dec 11 03:21:21 UTC 2025","TestPageElements","test_regression","",""
"Test that social media icons are visible","514","test_social_icons_visible[chromium]","tests","Thu Dec 11 03:26:25 UTC 2025","passed","Thu Dec 11 03:26:25 UTC 2025","TestPageElements","test_regression","",""
