"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that all practice links are visible","728","test_all_practice_links_visible[firefox]","tests","Thu Feb 19 03:01:24 UTC 2026","passed","Thu Feb 19 03:01:25 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Big Page","1704","test_navigate_to_big_page[firefox]","tests","Thu Feb 19 03:01:17 UTC 2026","passed","Thu Feb 19 03:01:19 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that the automation page loads successfully","4642","test_page_loads_successfully[firefox]","tests","Thu Feb 19 03:01:06 UTC 2026","passed","Thu Feb 19 03:01:10 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that all practice links are visible","623","test_all_practice_links_visible[chromium]","tests","Thu Feb 19 03:05:07 UTC 2026","passed","Thu Feb 19 03:05:07 UTC 2026","TestPageElements","test_regression","",""
"Test that social media icons are present","616","test_social_media_icons_present[firefox]","tests","Thu Feb 19 03:01:13 UTC 2026","passed","Thu Feb 19 03:01:13 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Pricing Page","2944","test_navigate_to_fake_pricing_page[firefox]","tests","Thu Feb 19 03:01:21 UTC 2026","passed","Thu Feb 19 03:01:24 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that page heading contains expected text","828","test_page_heading_contains_text[firefox]","tests","Thu Feb 19 03:01:26 UTC 2026","passed","Thu Feb 19 03:01:27 UTC 2026","TestPageElements","test_regression","",""
"Test that page heading contains expected text","593","test_page_heading_contains_text[webkit]","tests","Thu Feb 19 03:01:23 UTC 2026","passed","Thu Feb 19 03:01:24 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Fake Pricing Page","2870","test_navigate_to_fake_pricing_page[webkit]","tests","Thu Feb 19 03:01:19 UTC 2026","passed","Thu Feb 19 03:01:22 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that essential page elements are present","671","test_page_has_essential_elements[chromium]","tests","Thu Feb 19 03:04:57 UTC 2026","passed","Thu Feb 19 03:04:57 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that the automation page loads successfully","1288","test_page_loads_successfully[webkit]","tests","Thu Feb 19 03:01:10 UTC 2026","passed","Thu Feb 19 03:01:11 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are present","532","test_social_media_icons_present[chromium]","tests","Thu Feb 19 03:04:58 UTC 2026","passed","Thu Feb 19 03:04:59 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that all practice links are visible","538","test_all_practice_links_visible[webkit]","tests","Thu Feb 19 03:01:22 UTC 2026","passed","Thu Feb 19 03:01:22 UTC 2026","TestPageElements","test_regression","",""
"Test that social media icons are present","635","test_social_media_icons_present[webkit]","tests","Thu Feb 19 03:01:13 UTC 2026","passed","Thu Feb 19 03:01:14 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","1361","test_navigate_to_fake_landing_page[firefox]","tests","Thu Feb 19 03:01:19 UTC 2026","passed","Thu Feb 19 03:01:21 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that page heading contains expected text","535","test_page_heading_contains_text[chromium]","tests","Thu Feb 19 03:05:08 UTC 2026","passed","Thu Feb 19 03:05:09 UTC 2026","TestPageElements","test_regression","",""
"Test that social media icons are visible","608","test_social_icons_visible[chromium]","tests","Thu Feb 19 03:05:07 UTC 2026","passed","Thu Feb 19 03:05:08 UTC 2026","TestPageElements","test_regression","",""
"Test that navigation links are visible","647","test_navigation_links_are_visible[chromium]","tests","Thu Feb 19 03:04:57 UTC 2026","passed","Thu Feb 19 03:04:58 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","618","test_social_icons_visible[webkit]","tests","Thu Feb 19 03:01:23 UTC 2026","passed","Thu Feb 19 03:01:23 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Big Page","1251","test_navigate_to_big_page[webkit]","tests","Thu Feb 19 03:01:15 UTC 2026","passed","Thu Feb 19 03:01:17 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Pricing Page","2719","test_navigate_to_fake_pricing_page[chromium]","tests","Thu Feb 19 03:05:04 UTC 2026","passed","Thu Feb 19 03:05:06 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that essential page elements are present","705","test_page_has_essential_elements[webkit]","tests","Thu Feb 19 03:01:11 UTC 2026","passed","Thu Feb 19 03:01:12 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","1376","test_navigate_to_fake_landing_page[webkit]","tests","Thu Feb 19 03:01:17 UTC 2026","passed","Thu Feb 19 03:01:18 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that navigation links are visible","751","test_navigation_links_are_visible[webkit]","tests","Thu Feb 19 03:01:12 UTC 2026","passed","Thu Feb 19 03:01:13 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that the automation page loads successfully","5174","test_page_loads_successfully[chromium]","tests","Thu Feb 19 03:04:51 UTC 2026","passed","Thu Feb 19 03:04:56 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","827","test_social_icons_visible[firefox]","tests","Thu Feb 19 03:01:25 UTC 2026","passed","Thu Feb 19 03:01:26 UTC 2026","TestPageElements","test_regression","",""
"Test that navigation links are visible","790","test_navigation_links_are_visible[firefox]","tests","Thu Feb 19 03:01:12 UTC 2026","passed","Thu Feb 19 03:01:13 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Big Page","1065","test_navigate_to_big_page[chromium]","tests","Thu Feb 19 03:05:01 UTC 2026","passed","Thu Feb 19 03:05:02 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that essential page elements are present","836","test_page_has_essential_elements[firefox]","tests","Thu Feb 19 03:01:11 UTC 2026","passed","Thu Feb 19 03:01:11 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","1098","test_navigate_to_fake_landing_page[chromium]","tests","Thu Feb 19 03:05:02 UTC 2026","passed","Thu Feb 19 03:05:03 UTC 2026","TestNavigationLinks","test_regression","",""
