"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that navigation links are visible","1277","test_navigation_links_are_visible[webkit]","tests","Sun Feb 08 03:03:21 UTC 2026","passed","Sun Feb 08 03:03:22 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are present","1211","test_social_media_icons_present[webkit]","tests","Sun Feb 08 03:03:23 UTC 2026","passed","Sun Feb 08 03:03:24 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that page heading contains expected text","1355","test_page_heading_contains_text[webkit]","tests","Sun Feb 08 03:03:40 UTC 2026","passed","Sun Feb 08 03:03:41 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Fake Landing Page","3075","test_navigate_to_fake_landing_page[webkit]","tests","Sun Feb 08 03:03:30 UTC 2026","passed","Sun Feb 08 03:03:33 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that social media icons are visible","1077","test_social_icons_visible[webkit]","tests","Sun Feb 08 03:03:38 UTC 2026","passed","Sun Feb 08 03:03:40 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Fake Landing Page","1405","test_navigate_to_fake_landing_page[chromium]","tests","Sun Feb 08 03:08:29 UTC 2026","passed","Sun Feb 08 03:08:30 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Big Page","2021","test_navigate_to_big_page[firefox]","tests","Sun Feb 08 03:03:37 UTC 2026","passed","Sun Feb 08 03:03:39 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that all practice links are visible","704","test_all_practice_links_visible[firefox]","tests","Sun Feb 08 03:03:45 UTC 2026","passed","Sun Feb 08 03:03:45 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Big Page","1645","test_navigate_to_big_page[chromium]","tests","Sun Feb 08 03:08:27 UTC 2026","passed","Sun Feb 08 03:08:28 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that page heading contains expected text","595","test_page_heading_contains_text[firefox]","tests","Sun Feb 08 03:03:47 UTC 2026","passed","Sun Feb 08 03:03:47 UTC 2026","TestPageElements","test_regression","",""
"Test that the automation page loads successfully","5026","test_page_loads_successfully[chromium]","tests","Sun Feb 08 03:08:17 UTC 2026","passed","Sun Feb 08 03:08:22 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that essential page elements are present","776","test_page_has_essential_elements[chromium]","tests","Sun Feb 08 03:08:22 UTC 2026","passed","Sun Feb 08 03:08:23 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are present","641","test_social_media_icons_present[chromium]","tests","Sun Feb 08 03:08:24 UTC 2026","passed","Sun Feb 08 03:08:25 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Pricing Page","3611","test_navigate_to_fake_pricing_page[webkit]","tests","Sun Feb 08 03:03:33 UTC 2026","failed","Sun Feb 08 03:03:37 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that all practice links are visible","1259","test_all_practice_links_visible[webkit]","tests","Sun Feb 08 03:03:37 UTC 2026","passed","Sun Feb 08 03:03:38 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Fake Pricing Page","2797","test_navigate_to_fake_pricing_page[firefox]","tests","Sun Feb 08 03:03:41 UTC 2026","passed","Sun Feb 08 03:03:44 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that page heading contains expected text","549","test_page_heading_contains_text[chromium]","tests","Sun Feb 08 03:08:35 UTC 2026","passed","Sun Feb 08 03:08:35 UTC 2026","TestPageElements","test_regression","",""
"Test that all practice links are visible","682","test_all_practice_links_visible[chromium]","tests","Sun Feb 08 03:08:33 UTC 2026","passed","Sun Feb 08 03:08:34 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Fake Landing Page","1494","test_navigate_to_fake_landing_page[firefox]","tests","Sun Feb 08 03:03:39 UTC 2026","passed","Sun Feb 08 03:03:41 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Pricing Page","2725","test_navigate_to_fake_pricing_page[chromium]","tests","Sun Feb 08 03:08:30 UTC 2026","passed","Sun Feb 08 03:08:33 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that the automation page loads successfully","863","test_page_loads_successfully[firefox]","tests","Sun Feb 08 03:03:29 UTC 2026","passed","Sun Feb 08 03:03:30 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that navigation links are visible","692","test_navigation_links_are_visible[chromium]","tests","Sun Feb 08 03:08:23 UTC 2026","passed","Sun Feb 08 03:08:24 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Big Page","3613","test_navigate_to_big_page[webkit]","tests","Sun Feb 08 03:03:26 UTC 2026","passed","Sun Feb 08 03:03:29 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that the automation page loads successfully","1921","test_page_loads_successfully[webkit]","tests","Sun Feb 08 03:03:17 UTC 2026","passed","Sun Feb 08 03:03:19 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","658","test_social_icons_visible[chromium]","tests","Sun Feb 08 03:08:34 UTC 2026","passed","Sun Feb 08 03:08:35 UTC 2026","TestPageElements","test_regression","",""
"Test that social media icons are visible","552","test_social_icons_visible[firefox]","tests","Sun Feb 08 03:03:46 UTC 2026","passed","Sun Feb 08 03:03:47 UTC 2026","TestPageElements","test_regression","",""
"Test that essential page elements are present","1310","test_page_has_essential_elements[webkit]","tests","Sun Feb 08 03:03:20 UTC 2026","passed","Sun Feb 08 03:03:21 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that essential page elements are present","604","test_page_has_essential_elements[firefox]","tests","Sun Feb 08 03:03:30 UTC 2026","passed","Sun Feb 08 03:03:31 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are present","494","test_social_media_icons_present[firefox]","tests","Sun Feb 08 03:03:32 UTC 2026","passed","Sun Feb 08 03:03:33 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that navigation links are visible","555","test_navigation_links_are_visible[firefox]","tests","Sun Feb 08 03:03:31 UTC 2026","passed","Sun Feb 08 03:03:32 UTC 2026","TestBasicFunctionality","test_smoke","",""
