"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that social media icons are present","710","test_social_media_icons_present[chromium]","tests","Sun May 03 03:07:43 UTC 2026","passed","Sun May 03 03:07:43 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","2976","test_navigate_to_fake_landing_page[webkit]","tests","Sun May 03 03:04:51 UTC 2026","passed","Sun May 03 03:04:54 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Landing Page","1375","test_navigate_to_fake_landing_page[chromium]","tests","Sun May 03 03:07:47 UTC 2026","passed","Sun May 03 03:07:48 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that page heading contains expected text","588","test_page_heading_contains_text[chromium]","tests","Sun May 03 03:07:53 UTC 2026","passed","Sun May 03 03:07:53 UTC 2026","TestPageElements","test_regression","",""
"Test that the automation page loads successfully","1193","test_page_loads_successfully[webkit]","tests","Sun May 03 03:04:40 UTC 2026","passed","Sun May 03 03:04:41 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are present","1097","test_social_media_icons_present[webkit]","tests","Sun May 03 03:04:44 UTC 2026","passed","Sun May 03 03:04:45 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that all practice links are visible","683","test_all_practice_links_visible[chromium]","tests","Sun May 03 03:07:51 UTC 2026","passed","Sun May 03 03:07:52 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Big Page","2628","test_navigate_to_big_page[firefox]","tests","Sun May 03 03:07:17 UTC 2026","passed","Sun May 03 03:07:20 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that social media icons are present","822","test_social_media_icons_present[firefox]","tests","Sun May 03 03:07:12 UTC 2026","passed","Sun May 03 03:07:12 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that essential page elements are present","827","test_page_has_essential_elements[firefox]","tests","Sun May 03 03:07:09 UTC 2026","passed","Sun May 03 03:07:10 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that navigation links are visible","1238","test_navigation_links_are_visible[webkit]","tests","Sun May 03 03:04:43 UTC 2026","passed","Sun May 03 03:04:44 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","1539","test_navigate_to_fake_landing_page[firefox]","tests","Sun May 03 03:07:20 UTC 2026","passed","Sun May 03 03:07:22 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that the automation page loads successfully","4097","test_page_loads_successfully[chromium]","tests","Sun May 03 03:07:36 UTC 2026","passed","Sun May 03 03:07:41 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that navigation links are visible","627","test_navigation_links_are_visible[chromium]","tests","Sun May 03 03:07:42 UTC 2026","passed","Sun May 03 03:07:42 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","779","test_social_icons_visible[chromium]","tests","Sun May 03 03:07:52 UTC 2026","passed","Sun May 03 03:07:53 UTC 2026","TestPageElements","test_regression","",""
"Test that the automation page loads successfully","10651","test_page_loads_successfully[firefox]","tests","Sun May 03 03:06:57 UTC 2026","passed","Sun May 03 03:07:08 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Pricing Page","3050","test_navigate_to_fake_pricing_page[firefox]","tests","Sun May 03 03:07:22 UTC 2026","passed","Sun May 03 03:07:25 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Pricing Page","2752","test_navigate_to_fake_pricing_page[chromium]","tests","Sun May 03 03:07:48 UTC 2026","passed","Sun May 03 03:07:51 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that page heading contains expected text","780","test_page_heading_contains_text[firefox]","tests","Sun May 03 03:07:28 UTC 2026","passed","Sun May 03 03:07:29 UTC 2026","TestPageElements","test_regression","",""
"Test that social media icons are visible","1214","test_social_icons_visible[webkit]","tests","Sun May 03 03:04:59 UTC 2026","passed","Sun May 03 03:05:00 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Fake Pricing Page","3406","test_navigate_to_fake_pricing_page[webkit]","tests","Sun May 03 03:04:54 UTC 2026","passed","Sun May 03 03:04:57 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that social media icons are visible","795","test_social_icons_visible[firefox]","tests","Sun May 03 03:07:27 UTC 2026","passed","Sun May 03 03:07:28 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Big Page","1120","test_navigate_to_big_page[chromium]","tests","Sun May 03 03:07:45 UTC 2026","passed","Sun May 03 03:07:47 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that all practice links are visible","845","test_all_practice_links_visible[firefox]","tests","Sun May 03 03:07:26 UTC 2026","passed","Sun May 03 03:07:26 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Big Page","2741","test_navigate_to_big_page[webkit]","tests","Sun May 03 03:04:48 UTC 2026","passed","Sun May 03 03:04:50 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that essential page elements are present","944","test_page_has_essential_elements[chromium]","tests","Sun May 03 03:07:41 UTC 2026","passed","Sun May 03 03:07:42 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that page heading contains expected text","1124","test_page_heading_contains_text[webkit]","tests","Sun May 03 03:05:00 UTC 2026","passed","Sun May 03 03:05:02 UTC 2026","TestPageElements","test_regression","",""
"Test that essential page elements are present","680","test_page_has_essential_elements[webkit]","tests","Sun May 03 03:04:41 UTC 2026","passed","Sun May 03 03:04:42 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that navigation links are visible","804","test_navigation_links_are_visible[firefox]","tests","Sun May 03 03:07:10 UTC 2026","passed","Sun May 03 03:07:11 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that all practice links are visible","1221","test_all_practice_links_visible[webkit]","tests","Sun May 03 03:04:58 UTC 2026","passed","Sun May 03 03:04:59 UTC 2026","TestPageElements","test_regression","",""
