"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test navigation to Fake Landing Page","2710","test_navigate_to_fake_landing_page[webkit]","tests","Sat Mar 28 03:01:15 UTC 2026","passed","Sat Mar 28 03:01:18 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Pricing Page","3238","test_navigate_to_fake_pricing_page[webkit]","tests","Sat Mar 28 03:01:18 UTC 2026","passed","Sat Mar 28 03:01:21 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that all practice links are visible","791","test_all_practice_links_visible[firefox]","tests","Sat Mar 28 03:01:17 UTC 2026","passed","Sat Mar 28 03:01:18 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Big Page","1739","test_navigate_to_big_page[firefox]","tests","Sat Mar 28 03:01:10 UTC 2026","passed","Sat Mar 28 03:01:11 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Big Page","1267","test_navigate_to_big_page[chromium]","tests","Sat Mar 28 03:04:26 UTC 2026","passed","Sat Mar 28 03:04:28 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that social media icons are present","635","test_social_media_icons_present[chromium]","tests","Sat Mar 28 03:04:23 UTC 2026","passed","Sat Mar 28 03:04:24 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","1229","test_navigate_to_fake_landing_page[chromium]","tests","Sat Mar 28 03:04:28 UTC 2026","passed","Sat Mar 28 03:04:29 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that all practice links are visible","843","test_all_practice_links_visible[webkit]","tests","Sat Mar 28 03:01:21 UTC 2026","passed","Sat Mar 28 03:01:22 UTC 2026","TestPageElements","test_regression","",""
"Test navigation to Fake Landing Page","1383","test_navigate_to_fake_landing_page[firefox]","tests","Sat Mar 28 03:01:12 UTC 2026","passed","Sat Mar 28 03:01:13 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that navigation links are visible","673","test_navigation_links_are_visible[firefox]","tests","Sat Mar 28 03:01:04 UTC 2026","passed","Sat Mar 28 03:01:05 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","765","test_social_icons_visible[chromium]","tests","Sat Mar 28 03:04:33 UTC 2026","passed","Sat Mar 28 03:04:34 UTC 2026","TestPageElements","test_regression","",""
"Test that page heading contains expected text","958","test_page_heading_contains_text[webkit]","tests","Sat Mar 28 03:01:23 UTC 2026","passed","Sat Mar 28 03:01:24 UTC 2026","TestPageElements","test_regression","",""
"Test that page heading contains expected text","709","test_page_heading_contains_text[chromium]","tests","Sat Mar 28 03:04:34 UTC 2026","passed","Sat Mar 28 03:04:35 UTC 2026","TestPageElements","test_regression","",""
"Test that essential page elements are present","1005","test_page_has_essential_elements[webkit]","tests","Sat Mar 28 03:01:06 UTC 2026","passed","Sat Mar 28 03:01:07 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Pricing Page","2780","test_navigate_to_fake_pricing_page[chromium]","tests","Sat Mar 28 03:04:29 UTC 2026","passed","Sat Mar 28 03:04:32 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that page heading contains expected text","638","test_page_heading_contains_text[firefox]","tests","Sat Mar 28 03:01:19 UTC 2026","passed","Sat Mar 28 03:01:20 UTC 2026","TestPageElements","test_regression","",""
"Test that essential page elements are present","763","test_page_has_essential_elements[firefox]","tests","Sat Mar 28 03:01:03 UTC 2026","passed","Sat Mar 28 03:01:04 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that essential page elements are present","729","test_page_has_essential_elements[chromium]","tests","Sat Mar 28 03:04:21 UTC 2026","passed","Sat Mar 28 03:04:22 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that the automation page loads successfully","1347","test_page_loads_successfully[webkit]","tests","Sat Mar 28 03:01:05 UTC 2026","passed","Sat Mar 28 03:01:06 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","744","test_social_icons_visible[firefox]","tests","Sat Mar 28 03:01:18 UTC 2026","passed","Sat Mar 28 03:01:19 UTC 2026","TestPageElements","test_regression","",""
"Test that navigation links are visible","779","test_navigation_links_are_visible[chromium]","tests","Sat Mar 28 03:04:22 UTC 2026","passed","Sat Mar 28 03:04:23 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that navigation links are visible","1010","test_navigation_links_are_visible[webkit]","tests","Sat Mar 28 03:01:08 UTC 2026","passed","Sat Mar 28 03:01:09 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Big Page","2692","test_navigate_to_big_page[webkit]","tests","Sat Mar 28 03:01:12 UTC 2026","passed","Sat Mar 28 03:01:15 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that social media icons are visible","993","test_social_icons_visible[webkit]","tests","Sat Mar 28 03:01:22 UTC 2026","passed","Sat Mar 28 03:01:23 UTC 2026","TestPageElements","test_regression","",""
"Test that the automation page loads successfully","4262","test_page_loads_successfully[chromium]","tests","Sat Mar 28 03:04:17 UTC 2026","passed","Sat Mar 28 03:04:21 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are present","1026","test_social_media_icons_present[webkit]","tests","Sat Mar 28 03:01:09 UTC 2026","passed","Sat Mar 28 03:01:10 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Pricing Page","3061","test_navigate_to_fake_pricing_page[firefox]","tests","Sat Mar 28 03:01:13 UTC 2026","passed","Sat Mar 28 03:01:17 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that social media icons are present","650","test_social_media_icons_present[firefox]","tests","Sat Mar 28 03:01:05 UTC 2026","passed","Sat Mar 28 03:01:06 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that the automation page loads successfully","5530","test_page_loads_successfully[firefox]","tests","Sat Mar 28 03:00:57 UTC 2026","passed","Sat Mar 28 03:01:03 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that all practice links are visible","846","test_all_practice_links_visible[chromium]","tests","Sat Mar 28 03:04:32 UTC 2026","passed","Sat Mar 28 03:04:33 UTC 2026","TestPageElements","test_regression","",""
