"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that social media icons are present","594","test_social_media_icons_present[firefox]","tests","Sat Oct 25 18:57:53 UTC 2025","passed","Sat Oct 25 18:57:54 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test that the automation page loads successfully","2479","test_page_loads_successfully[firefox]","tests","Sat Oct 25 18:57:48 UTC 2025","passed","Sat Oct 25 18:57:51 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test navigation to Big Page","1920","test_navigate_to_big_page[firefox]","tests","Sat Oct 25 18:57:58 UTC 2025","passed","Sat Oct 25 18:58:00 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that social media icons are present","580","test_social_media_icons_present[chromium]","tests","Sat Oct 25 19:00:15 UTC 2025","passed","Sat Oct 25 19:00:16 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","1323","test_navigate_to_fake_landing_page[firefox]","tests","Sat Oct 25 18:58:00 UTC 2025","passed","Sat Oct 25 18:58:01 UTC 2025","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Pricing Page","3153","test_navigate_to_fake_pricing_page[webkit]","tests","Sat Oct 25 18:58:10 UTC 2025","failed","Sat Oct 25 18:58:13 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that page heading contains expected text","560","test_page_heading_contains_text[chromium]","tests","Sat Oct 25 19:00:27 UTC 2025","passed","Sat Oct 25 19:00:27 UTC 2025","TestPageElements","test_regression","",""
"Test navigation to Fake Pricing Page","3165","test_navigate_to_fake_pricing_page[firefox]","tests","Sat Oct 25 18:58:01 UTC 2025","passed","Sat Oct 25 18:58:05 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that the automation page loads successfully","1663","test_page_loads_successfully[webkit]","tests","Sat Oct 25 18:57:59 UTC 2025","passed","Sat Oct 25 18:58:01 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","605","test_social_icons_visible[chromium]","tests","Sat Oct 25 19:00:26 UTC 2025","passed","Sat Oct 25 19:00:27 UTC 2025","TestPageElements","test_regression","",""
"Test that all practice links are visible","843","test_all_practice_links_visible[webkit]","tests","Sat Oct 25 18:58:14 UTC 2025","passed","Sat Oct 25 18:58:15 UTC 2025","TestPageElements","test_regression","",""
"Test that the automation page loads successfully","12695","test_page_loads_successfully[chromium]","tests","Sat Oct 25 19:00:01 UTC 2025","passed","Sat Oct 25 19:00:13 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test that navigation links are visible","1011","test_navigation_links_are_visible[webkit]","tests","Sat Oct 25 18:58:02 UTC 2025","passed","Sat Oct 25 18:58:03 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","1167","test_social_icons_visible[webkit]","tests","Sat Oct 25 18:58:15 UTC 2025","passed","Sat Oct 25 18:58:16 UTC 2025","TestPageElements","test_regression","",""
"Test that essential page elements are present","632","test_page_has_essential_elements[firefox]","tests","Sat Oct 25 18:57:51 UTC 2025","passed","Sat Oct 25 18:57:52 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test that page heading contains expected text","837","test_page_heading_contains_text[webkit]","tests","Sat Oct 25 18:58:16 UTC 2025","passed","Sat Oct 25 18:58:17 UTC 2025","TestPageElements","test_regression","",""
"Test that navigation links are visible","598","test_navigation_links_are_visible[firefox]","tests","Sat Oct 25 18:57:52 UTC 2025","passed","Sat Oct 25 18:57:53 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test that essential page elements are present","878","test_page_has_essential_elements[chromium]","tests","Sat Oct 25 19:00:13 UTC 2025","passed","Sat Oct 25 19:00:14 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test navigation to Big Page","1722","test_navigate_to_big_page[chromium]","tests","Sat Oct 25 19:00:18 UTC 2025","passed","Sat Oct 25 19:00:20 UTC 2025","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Landing Page","1866","test_navigate_to_fake_landing_page[webkit]","tests","Sat Oct 25 18:58:08 UTC 2025","passed","Sat Oct 25 18:58:10 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that all practice links are visible","579","test_all_practice_links_visible[chromium]","tests","Sat Oct 25 19:00:25 UTC 2025","passed","Sat Oct 25 19:00:26 UTC 2025","TestPageElements","test_regression","",""
"Test that navigation links are visible","766","test_navigation_links_are_visible[chromium]","tests","Sat Oct 25 19:00:14 UTC 2025","passed","Sat Oct 25 19:00:15 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Pricing Page","2676","test_navigate_to_fake_pricing_page[chromium]","tests","Sat Oct 25 19:00:23 UTC 2025","passed","Sat Oct 25 19:00:25 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that social media icons are visible","618","test_social_icons_visible[firefox]","tests","Sat Oct 25 18:58:06 UTC 2025","passed","Sat Oct 25 18:58:06 UTC 2025","TestPageElements","test_regression","",""
"Test that all practice links are visible","606","test_all_practice_links_visible[firefox]","tests","Sat Oct 25 18:58:05 UTC 2025","passed","Sat Oct 25 18:58:06 UTC 2025","TestPageElements","test_regression","",""
"Test navigation to Big Page","2006","test_navigate_to_big_page[webkit]","tests","Sat Oct 25 18:58:06 UTC 2025","passed","Sat Oct 25 18:58:08 UTC 2025","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Landing Page","2459","test_navigate_to_fake_landing_page[chromium]","tests","Sat Oct 25 19:00:20 UTC 2025","passed","Sat Oct 25 19:00:22 UTC 2025","TestNavigationLinks","test_regression","",""
"Test that social media icons are present","1105","test_social_media_icons_present[webkit]","tests","Sat Oct 25 18:58:04 UTC 2025","passed","Sat Oct 25 18:58:05 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test that essential page elements are present","1133","test_page_has_essential_elements[webkit]","tests","Sat Oct 25 18:58:01 UTC 2025","passed","Sat Oct 25 18:58:02 UTC 2025","TestBasicFunctionality","test_smoke","",""
"Test that page heading contains expected text","580","test_page_heading_contains_text[firefox]","tests","Sat Oct 25 18:58:07 UTC 2025","passed","Sat Oct 25 18:58:07 UTC 2025","TestPageElements","test_regression","",""
