"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that essential page elements are present","701","test_page_has_essential_elements[firefox]","tests","Fri Mar 20 02:58:20 UTC 2026","passed","Fri Mar 20 02:58:21 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are visible","878","test_social_icons_visible[chromium]","tests","Fri Mar 20 03:01:38 UTC 2026","passed","Fri Mar 20 03:01:39 UTC 2026","TestPageElements","test_regression","",""
"Test that social media icons are present","627","test_social_media_icons_present[firefox]","tests","Fri Mar 20 02:58:22 UTC 2026","passed","Fri Mar 20 02:58:23 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that essential page elements are present","801","test_page_has_essential_elements[chromium]","tests","Fri Mar 20 03:01:16 UTC 2026","passed","Fri Mar 20 03:01:17 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that social media icons are present","749","test_social_media_icons_present[chromium]","tests","Fri Mar 20 03:01:18 UTC 2026","passed","Fri Mar 20 03:01:18 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Fake Landing Page","1752","test_navigate_to_fake_landing_page[firefox]","tests","Fri Mar 20 02:58:40 UTC 2026","passed","Fri Mar 20 02:58:42 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that the automation page loads successfully","1261","test_page_loads_successfully[webkit]","tests","Fri Mar 20 02:58:46 UTC 2026","passed","Fri Mar 20 02:58:47 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test navigation to Big Page","11492","test_navigate_to_big_page[firefox]","tests","Fri Mar 20 02:58:28 UTC 2026","broken","Fri Mar 20 02:58:39 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Big Page","10932","test_navigate_to_big_page[chromium]","tests","Fri Mar 20 03:01:21 UTC 2026","broken","Fri Mar 20 03:01:32 UTC 2026","TestNavigationLinks","test_regression","",""
"Test navigation to Fake Pricing Page","3311","test_navigate_to_fake_pricing_page[firefox]","tests","Fri Mar 20 02:58:42 UTC 2026","passed","Fri Mar 20 02:58:46 UTC 2026","TestNavigationLinks","test_regression","",""
"Test that page heading contains expected text","552","test_page_heading_contains_text[chromium]","tests","Fri Mar 20 03:01:39 UTC 2026","passed","Fri Mar 20 03:01:40 UTC 2026","TestPageElements","test_regression","",""
"Test that all practice links are visible","707","test_all_practice_links_visible[firefox]","tests","Fri Mar 20 02:58:46 UTC 2026","passed","Fri Mar 20 02:58:47 UTC 2026","TestPageElements","test_regression","",""
"Test that page heading contains expected text","741","test_page_heading_contains_text[webkit]","tests","Fri Mar 20 02:59:12 UTC 2026","passed","Fri Mar 20 02:59:13 UTC 2026","TestPageElements","test_regression","",""
"Test that social media icons are present","704","test_social_media_icons_present[webkit]","tests","Fri Mar 20 02:58:50 UTC 2026","passed","Fri Mar 20 02:58:50 UTC 2026","TestBasicFunctionality","test_smoke","",""
"Test that the automation page loads successfully","2823","test_page_loads_successfully[firefox]","tests","Fri Mar 20 02:58:17 UTC 2026","passed","Fri Mar 20 02:58:20 UTC 2026","TestBasicFunctionality","test_smoke","",""
